,index,ln,dob,gn,fn,full_name
7,14,BLAND,08/06/54,F,WILLIAM,WILLIAMBLAND
8,16,BLAND,25/10/53,F,WILLIAM,WILLIAMBLAND
9,18,SHAFFER,25/10/53,F,WILLIAM,WILLIAMSHAFFER
10,19,DUNCAN,25/10/53,F,THOMAS,THOMASDUNCAN
11,20,CARLSON,25/10/53,F,ROY,ROYCARLSON
12,21,CARLSON,25/10/53,F,RON,RONCARLSON
13,22,DUNCAN,25/10/53,F,ROY,ROYDUNCAN
14,23,MCHAELSON,25/10/53,M,ROY,ROYMCHAELSON
15,27,MCHAELSON,01/05/51,M,ROY,ROYMCHAELSON
16,28,MCHAELSON,17/06/48,M,ROY,ROYMCHAELSON
17,30,MCHAELSON,09/04/47,M,ROY,ROYMCHAELSON
18,31,MCHAELSON,09/04/47,M,ROBERT,ROBERTMCHAELSON
19,32,MCHAELSON,09/04/47,M,BOB,BOBMCHAELSON
20,33,MUSTAPHA,11/03/47,M,OWEN,OWENMUSTAPHA
21,34,MUSTAPHA,11/03/47,M,OWAN,OWANMUSTAPHA
22,35,HOUGHTON,31/01/46,M,LAWRENCE,LAWRENCEHOUGHTON
23,38,LND,31/01/46,M,LAWRENCE,LAWRENCELND
24,40,LND,31/01/46,M,KENNETH,KENNETHLND
25,42,LND,20/01/46,M,JOHN,JOHNLND
26,43,CAN,20/01/46,M,JOHN,JOHNCAN
27,44,CLARK,09/06/45,M,JOHN,JOHNCLARK
28,45,CLARK,09/02/45,M,RONALD,RONALDCLARK
29,46,CLARK,09/02/45,M,DONALD,DONALDCLARK
30,47,CLARK,16/12/44,M,JOHN,JOHNCLARK
31,50,MCHAELSON,16/12/44,M,JOHN,JOHNMCHAELSON
32,53,MCHAELSON,24/04/40,M,JOHN,JOHNMCHAELSON
33,55,MCHAELSON,24/06/39,M,JOHN,JOHNMCHAELSON
34,58,MCHAELSON,24/06/39,M,JAMES,JAMESMCHAELSON
35,60,MCHAELSON,24/06/39,M,JACK,JACKMCHAELSON
36,61,MCHAELSON,09/06/39,M,JACK,JACKMCHAELSON
37,62,LARSON,09/06/39,M,HAROLD,HAROLDLARSON
38,64,MUSTAPHA,07/10/37,M,HAROLD,HAROLDMUSTAPHA
39,65,HOUGHTON,07/10/37,M,HAROLD,HAROLDHOUGHTON
40,66,MELVN,07/10/37,M,HAROLD,HAROLDMELVN
41,75,CHAVAS,07/10/37,M,HAROLD,HAROLDCHAVAS
42,79,MCHAELSON,07/10/37,M,HAROLD,HAROLDMCHAELSON
43,81,SMTH,07/10/37,M,HAROLD,HAROLDSMTH
44,84,FAGEN,07/10/37,M,HAROLD,HAROLDFAGEN
45,86,FAGEN,07/10/37,M,GEORGE,GEORGEFAGEN
46,87,GRFFN,07/10/37,M,DARH,DARHGRFFN
47,88,GRFFN,10/07/37,M,DARL,DARLGRFFN
48,89,GRFFN,07/05/37,M,DARL,DARLGRFFN
49,90,GRFFN,07/05/37,M,CLIFFORD,CLIFFORDGRFFN
50,93,GRFFN,07/05/37,M,CLARENCE,CLARENCEGRFFN
51,94,HANNA,24/11/34,M,ADDISONJ,ADDISONJHANNA
52,95,HANNA,24/11/34,M,ADDISONJOHN,ADDISONJOHNHANNA
53,96,HANNA,24/11/34,M,ADDISON,ADDISONHANNA
54,99,GALETCH,15/10/32,M,ADDISON,ADDISONGALETCH
55,100,FUNARO JONES,06/12/37,F,HARRIET,HARRIETFUNARO JONES
56,101,FUNARO J,06/12/37,F,HARRIET,HARRIETFUNARO J
57,102,FUNARO,06/12/37,F,HARRIET,HARRIETFUNARO
